Indicator,Group,State,Subgroup,Phase,"Time Period","Time Period Label","Time Period Start Date","Time Period End Date",Value,LowCI,HighCI,"Confidence Interval","Quartile range","Quartile number","Suppression Flag"
"Ever experienced long COVID, as a percentage of all adults","By Education","United States","Less than a high school diploma",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,15,11.6,18.9,"11.6 - 18.9",,,
"Ever experienced long COVID, as a percentage of all adults","By Education","United States","High school diploma or GED",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,15,14,16.1,"14.0 - 16.1",,,
"Ever experienced long COVID, as a percentage of all adults","By Education","United States","Some college/Associate's degree",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,16.5,15.5,17.5,"15.5 - 17.5",,,
"Ever experienced long COVID, as a percentage of all adults","By Education","United States","Bachelor's degree or higher",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,10.3,9.7,10.8,"9.7 - 10.8",,,
"Ever experienced long COVID, as a percentage of all adults","By Disability status","United States","With disability",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,23.2,21.4,25.1,"21.4 - 25.1",,,
"Ever experienced long COVID, as a percentage of all adults","By Disability status","United States","Without disability",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,12.1,11.6,12.6,"11.6 - 12.6",,,
"Ever experienced long COVID, as a percentage of all adults","By State","New York","New York",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,16,12.9,19.5,"12.9 - 19.5",14.1-16.6,3,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","National Estimate","United States","United States",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,35.1,34.1,36,"34.1 - 36.0",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Age","United States","18 - 29 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,36.1,32.3,40.1,"32.3 - 40.1",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Age","United States","30 - 39 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,32.3,30.4,34.2,"30.4 - 34.2",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Age","United States","40 - 49 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,36.7,34.3,39.1,"34.3 - 39.1",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Age","United States","50 - 59 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,38.2,35.7,40.8,"35.7 - 40.8",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Age","United States","60 - 69 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,34.4,31.7,37.3,"31.7 - 37.3",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Age","United States","70 - 79 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,31.1,26.4,36.1,"26.4 - 36.1",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Age","United States","80 years and above",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,23.3,18,29.3,"18.0 - 29.3",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Sex","United States",Male,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,27.6,26.1,29.2,"26.1 - 29.2",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Sex","United States",Female,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,41.5,39.9,43,"39.9 - 43.0",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Gender identity","United States","Cis-gender male",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,27.1,25.6,28.6,"25.6 - 28.6",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Gender identity","United States","Cis-gender female",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,41.3,39.8,42.9,"39.8 - 42.9",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Gender identity","United States",Transgender,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,49.1,34.6,63.7,"34.6 - 63.7",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Sexual orientation","United States","Gay or lesbian",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,34.7,26.4,43.7,"26.4 - 43.7",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Sexual orientation","United States",Straight,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,34.1,33.2,35,"33.2 - 35.0",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Sexual orientation","United States",Bisexual,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,46.9,40.4,53.5,"40.4 - 53.5",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,39.6,36.7,42.5,"36.7 - 42.5",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,33.8,32.6,35,"32.6 - 35.0",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,37.8,33.5,42.2,"33.5 - 42.2",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,25.4,21,30.2,"21.0 - 30.2",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,35.7,31,40.6,"31.0 - 40.6",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Education","United States","Less than a high school diploma",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,40.3,33.5,47.5,"33.5 - 47.5",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Education","United States","High school diploma or GED",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,38.5,36.2,40.8,"36.2 - 40.8",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Education","United States","Some college/Associate's degree",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,39,37.4,40.7,"37.4 - 40.7",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Education","United States","Bachelor's degree or higher",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,26.2,25,27.4,"25.0 - 27.4",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Disability status","United States","With disability",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,57.7,54.1,61.2,"54.1 - 61.2",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By Disability status","United States","Without disability",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,30.8,29.7,31.9,"29.7 - 31.9",,,
"Ever experienced long COVID, as a percentage of adults who ever had COVID","By State","New York","New York",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,34.7,29,40.6,"29.0 - 40.6",31.4-35.8,2,
"Currently experiencing long COVID, as a percentage of all adults","National Estimate","United States","United States",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,7.5,7.1,7.9,"7.1 - 7.9",,,
"Currently experiencing long COVID, as a percentage of all adults","By Age","United States","18 - 29 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,8.4,7,9.9,"7.0 - 9.9",,,
"Currently experiencing long COVID, as a percentage of all adults","By Age","United States","30 - 39 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,7.8,7,8.6,"7.0 - 8.6",,,
"Currently experiencing long COVID, as a percentage of all adults","By Age","United States","40 - 49 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,8.8,7.9,9.7,"7.9 - 9.7",,,
"Currently experiencing long COVID, as a percentage of all adults","By Age","United States","50 - 59 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,8.5,7.4,9.7,"7.4 - 9.7",,,
"Currently experiencing long COVID, as a percentage of all adults","By Age","United States","60 - 69 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,6.6,5.8,7.5,"5.8 - 7.5",,,
"Currently experiencing long COVID, as a percentage of all adults","By Age","United States","70 - 79 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,5,4,6.2,"4.0 - 6.2",,,
"Currently experiencing long COVID, as a percentage of all adults","By Age","United States","80 years and above",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,2.8,2,3.8,"2.0 - 3.8",,,
"Currently experiencing long COVID, as a percentage of all adults","By Sex","United States",Male,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,5.5,5,6,"5.0 - 6.0",,,
"Currently experiencing long COVID, as a percentage of all adults","By Sex","United States",Female,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,9.4,8.9,10,"8.9 - 10.0",,,
"Currently experiencing long COVID, as a percentage of all adults","By Gender identity","United States","Cis-gender male",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,5.3,4.8,5.8,"4.8 - 5.8",,,
"Currently experiencing long COVID, as a percentage of all adults","By Gender identity","United States","Cis-gender female",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,9.4,8.8,10,"8.8 - 10.0",,,
"Currently experiencing long COVID, as a percentage of all adults","By Gender identity","United States",Transgender,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,12.9,7.5,20.2,"7.5 - 20.2",,,
"Currently experiencing long COVID, as a percentage of all adults","By Sexual orientation","United States","Gay or lesbian",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,6.6,4.6,9.1,"4.6 - 9.1",,,
"Currently experiencing long COVID, as a percentage of all adults","By Sexual orientation","United States",Straight,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,7.1,6.8,7.5,"6.8 - 7.5",,,
"Currently experiencing long COVID, as a percentage of all adults","By Sexual orientation","United States",Bisexual,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,12.1,9.3,15.4,"9.3 - 15.4",,,
"Currently experiencing long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,8.8,7.7,10.1,"7.7 - 10.1",,,
"Currently experiencing long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,7.5,7.2,7.9,"7.2 - 7.9",,,
"Currently experiencing long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,6.8,5.5,8.2,"5.5 - 8.2",,,
"Currently experiencing long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,3.7,2.6,5,"2.6 - 5.0",,,
"Currently experiencing long COVID, as a percentage of all adults","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,8.8,7.2,10.7,"7.2 - 10.7",,,
"Currently experiencing long COVID, as a percentage of all adults","By Education","United States","Less than a high school diploma",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,8.4,5.9,11.6,"5.9 - 11.6",,,
"Currently experiencing long COVID, as a percentage of all adults","By Education","United States","High school diploma or GED",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,8.1,7.2,8.9,"7.2 - 8.9",,,
"Currently experiencing long COVID, as a percentage of all adults","By Education","United States","Some college/Associate's degree",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,8.8,8.1,9.6,"8.1 - 9.6",,,
"Currently experiencing long COVID, as a percentage of all adults","By Education","United States","Bachelor's degree or higher",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,5.5,5.2,5.8,"5.2 - 5.8",,,
"Currently experiencing long COVID, as a percentage of all adults","By Disability status","United States","With disability",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,15.8,14.3,17.5,"14.3 - 17.5",,,
"Currently experiencing long COVID, as a percentage of all adults","By Disability status","United States","Without disability",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,6.1,5.7,6.4,"5.7 - 6.4",,,
"Currently experiencing long COVID, as a percentage of all adults","By State","New York","New York",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,8.1,5.9,10.7,"5.9 - 10.7",8.0-9.2,3,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","National Estimate","United States","United States",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,18.9,17.9,19.8,"17.9 - 19.8",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Age","United States","18 - 29 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,17,14.4,19.9,"14.4 - 19.9",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Age","United States","30 - 39 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,16.5,14.9,18.2,"14.9 - 18.2",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Age","United States","40 - 49 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,19.1,17.3,20.9,"17.3 - 20.9",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Age","United States","50 - 59 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,21.2,19,23.6,"19.0 - 23.6",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Age","United States","60 - 69 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,20.9,18.7,23.3,"18.7 - 23.3",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Age","United States","70 - 79 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,21.6,17.8,25.9,"17.8 - 25.9",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Age","United States","80 years and above",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,15.4,11,20.7,"11.0 - 20.7",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Sex","United States",Male,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,14.5,13.3,15.7,"13.3 - 15.7",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Sex","United States",Female,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,22.6,21.4,24,"21.4 - 24.0",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Gender identity","United States","Cis-gender male",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,13.9,12.7,15.1,"12.7 - 15.1",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Gender identity","United States","Cis-gender female",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,22.6,21.2,24,"21.2 - 24.0",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Gender identity","United States",Transgender,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,32.5,20.2,46.7,"20.2 - 46.7",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Sexual orientation","United States","Gay or lesbian",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,16.6,11.6,22.6,"11.6 - 22.6",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Sexual orientation","United States",Straight,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,17.9,17,18.8,"17.0 - 18.8",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Sexual orientation","United States",Bisexual,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,29.6,23.5,36.3,"23.5 - 36.3",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,19.1,16.9,21.3,"16.9 - 21.3",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,19.5,18.5,20.5,"18.5 - 20.5",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,18.5,15.1,22.2,"15.1 - 22.2",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Asian, single race",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,10,7.2,13.5,"7.2 - 13.5",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic, other races and multiple races",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,20.1,16.1,24.5,"16.1 - 24.5",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Education","United States","Less than a high school diploma",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,22.7,16.7,29.7,"16.7 - 29.7",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Education","United States","High school diploma or GED",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,20.7,18.7,22.8,"18.7 - 22.8",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Education","United States","Some college/Associate's degree",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,20.9,19.2,22.7,"19.2 - 22.7",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Education","United States","Bachelor's degree or higher",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,14,13.2,14.8,"13.2 - 14.8",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Disability status","United States","With disability",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,39.3,35.7,43.1,"35.7 - 43.1",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By Disability status","United States","Without disability",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,15.5,14.6,16.4,"14.6 - 16.4",,,
"Currently experiencing long COVID, as a percentage of adults who ever had COVID","By State","New York","New York",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,17.5,13.1,22.6,"13.1 - 22.6",17.0-19.6,2,
"Ever had COVID","National Estimate","United States","United States",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,40.3,39.5,41.1,"39.5 - 41.1",,,
"Ever had COVID","By Age","United States","18 - 29 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,49.6,46.9,52.4,"46.9 - 52.4",,,
"Ever had COVID","By Age","United States","30 - 39 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,47.4,45.7,49.2,"45.7 - 49.2",,,
"Ever had COVID","By Age","United States","40 - 49 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,46.5,44.8,48.2,"44.8 - 48.2",,,
"Ever had COVID","By Age","United States","50 - 59 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,40.7,38.9,42.5,"38.9 - 42.5",,,
"Ever had COVID","By Age","United States","60 - 69 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,32,30.4,33.7,"30.4 - 33.7",,,
"Ever had COVID","By Age","United States","70 - 79 years",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,23.3,21.4,25.2,"21.4 - 25.2",,,
"Ever had COVID","By Age","United States","80 years and above",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,18.6,15.7,21.8,"15.7 - 21.8",,,
"Ever had COVID","By Sex","United States",Male,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,38.3,37.1,39.5,"37.1 - 39.5",,,
"Ever had COVID","By Sex","United States",Female,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,42.2,41.2,43.2,"41.2 - 43.2",,,
"Ever had COVID","By Gender identity","United States","Cis-gender male",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,38.2,37,39.4,"37.0 - 39.4",,,
"Ever had COVID","By Gender identity","United States","Cis-gender female",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,42.2,41.2,43.2,"41.2 - 43.2",,,
"Ever had COVID","By Gender identity","United States",Transgender,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,39.9,30.2,50.2,"30.2 - 50.2",,,
"Ever had COVID","By Sexual orientation","United States","Gay or lesbian",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,39.8,34.5,45.2,"34.5 - 45.2",,,
"Ever had COVID","By Sexual orientation","United States",Straight,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,40.2,39.4,41.1,"39.4 - 41.1",,,
"Ever had COVID","By Sexual orientation","United States",Bisexual,3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,41.2,37.5,44.9,"37.5 - 44.9",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Hispanic or Latino",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,46.9,44,49.8,"44.0 - 49.8",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic White, single race",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,39.1,38.4,39.8,"38.4 - 39.8",,,
"Ever had COVID","By Race/Hispanic ethnicity","United States","Non-Hispanic Black, single race",3.5,46,"Jun 1 - Jun 13, 2022",6/1/2022,6/13/2022,37.3,35,39.6,"35.0 - 39.6",,,
